,username,text,hashtags,created_at,date,hour,,,,,
0,49404200,Breaking News: Twitter Streets Saying Kevin Samuels Allegedly Has PassedAway,[],2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
1,73186629,Another cryptic response from the forward when asked about his future,['LFC'],2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
2,56147198,"[Hint- the REAL news is not this]. We KNOW Brexit slashed GDP by %!Thats double the impact from Covid [at %]We know this, because Govt experts, the said so And yet:Almost all news outlets blame the cost of living crisis on Covid, Ukrainebut NEVER Brexit! [M.P].",[],2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
3,14182050,: gives 'Jordaar' performance with as they groove to Garmi song,"['DanceDeewaneJuniors', 'RanveerSingh', 'NoraFatehi', 'JayeshbhaiJordaar']",2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
4,1.25548292779583E+018,"Ministry of Defense of Russia ""announced"" strikes on hospitals in four regions of Ukraine","['news', 'TSN', 'ukraine', 'mostshared']",2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
5,2323119010,"Permanent design and cloud / DevOps recruitment (especially in the public sector) has been getting harder and harder as they're such contract driven markets.Perm is all about flexibility for remote, wellness packages and employer branding since Covid. Happy to help if I can",[],2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
6,1.51428003795613E+018,"Dr. Anthony Fauci oversaw the funding of $600,000 to The Wuhan Institute of Virology in for research into whether bat coronaviruses could be transmitted to humans","['COVID19', 'CORRUPTION']",2022-05-06T09:29:59.000Z,2022-05-06,9,,,,,
8,291664416,BBC News studio presenters giving and a tough time this morning. on the other hand allowed to avoid the questions and peddle their spin.,['LocalElections2022'],2022-05-06T09:29:58.000Z,2022-05-06,9,,,,,
9,1.38515986773275E+018,"Great news that and are doing so well, alongside those amazing wins in London for If you support a for the next GE...","['ProgressiveAlliance', 'followbackfriday', 'GTTO']",2022-05-06T09:29:58.000Z,2022-05-06,9,,,,,
10,1.01003485206466E+018,UK govt recovers fresh $23m Abacha loot,[],2022-05-06T09:29:57.000Z,2022-05-06,9,,,,,
11,1.50757263201917E+018,Many Americans contracted a strange disease in years.,"['COVID', 'EsLaHoraDeKast']",2022-05-06T09:29:57.000Z,2022-05-06,9,,,,,
12,62471790,Have you read our latest e-newsletter?In this issue: - We urge the government to double funding to AONBs- habitat news- a event at - inspiring stories- and more...,"['Chilterns', 'watervole', 'prehistory', 'regenarativefarming']",2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
13,7.35567688303575E+017,"Next stop: University of York for the Global Development Masterclass on Monday, May th. Attendance is open to the public.Thanks and !",[],2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
14,15726926,bad news : is almost sold out of the ltd ed of Miss-Communication that launched in Marchgood news: a special Markievicz Award ltd edition will launch pm Mon th Maydetails here - you're invited - please come!,[],2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
15,51334705,Heard in the news the fella that attacked you had charges dropped to a misdemeanor. Now I wonder if you might sign your name to the recall DA Gaston from Attorney General?,[],2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
16,564706003,But the bad news is not confined to the UK and it is about time msm started emphasising that rather than pumping up the anxiety.,[],2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
17,1.37178938060037E+018,"lifts COVID restrictions as infection numbers come down!Scientists are still evaluating the information surrounding Omicron, but early indications are that symptoms are much less severe than initially predicted",['SouthAfrica'],2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
18,1.41418925877719E+018,WHO( comes to you sponsored by BILL) made an almighty pig's ear of the covid debacle...why would any sane gov. give them any control?Clearly another drug MARKETING strategy!! He made a few quid out of his last scheme didn t he?!?!,"['WHO', 'covid19']",2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
19,1.34440848113108E+018,"Controversial relationship guru Kevin Samuels 'dead at , fans claim",[],2022-05-06T09:29:56.000Z,2022-05-06,9,,,,,
20,1.46816409735526E+018,Chinas trade seen faltering in April as COVID curbs hitoutput,[],2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
21,23356712,Will be a short speech. The role of Russia in the world today can be summarised very easily. Russia is the harbinger of death and destruction and makes no useful contribution to mankind they are like a cancer that spreads and brings misery wherever it visits.,"['Ukraine', 'Ukraine']",2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
22,1432177332,Think you've just done the classic straw man argument.There are some extra deaths happening but they're not all covid.,[],2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
23,1.3033499628566E+018,and gangsters will soon be at the on trial for war crimes.. will be kicked out of and Putin deposed in a coup. send in the planes,"['PutinWarCriminal', 'Hague', 'Russia', 'Ukraine', 'StandWithUkraine', 'NATO']",2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
24,121171051,"Swedens Covid death rate among lowest in Europe, despite avoiding strict lockdowns",[],2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
25,52036668,"TU publishes Master (MEd, MA, MPA, &amp; MBS) st Year Exam Scheduleview details on:",[],2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
26,1.49686976524754E+018,"Russia Continued Attack On Azovstal Steel Plant For nd Day, UKSays",[],2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
27,3025134877,Military MODEL is out!,"['veterans', 'military', 'military', 'news']",2022-05-06T09:29:55.000Z,2022-05-06,9,,,,,
28,149891331,"$HTSC, Ready to roll into dollarland. Great news yesterday about their Nickel claims. EV play. On its way from .056 to dollarland.",[],2022-05-06T09:55:59.000Z,2022-05-06,9,,,,,
29,1056468072,"As a public health librarian I follow COVID data quite closely, but it was only today that I realized that the CDC community levels are updated only weekly. A lot can happen between one Friday and the next Thursday.",[],2022-05-06T09:55:59.000Z,2022-05-06,9,,,,,
30,1.4433690284546E+018,FACEIT partners with crypto fintech platform Cake DeFi in multi million dollar deal that will allow players to earn cryptocurrency European Gaming IndustryNews,[],2022-05-06T09:55:58.000Z,2022-05-06,9,,,,,
31,1.42870573310997E+018,"Heard they lost their anchor tenant to another developer nearby during Covid, when the bargaining door was thrown wide open across the market. Found another one now or so I've heard, hence work is going on at a rapid pace.",[],2022-05-06T09:55:58.000Z,2022-05-06,9,,,,,
32,7.38079040095949E+017,What is hiding from the people of ? We demand transparency in our government.,['Florida'],2022-05-06T09:55:58.000Z,2022-05-06,9,,,,,
33,1.18276207028833E+018,How is this barca news,[],2022-05-06T09:55:58.000Z,2022-05-06,9,,,,,
34,8.50652044096545E+017,- Spain air fares and hotel prices surge ahead of Rangers final in Seville -,"['Travel', 'Travalogy']",2022-05-06T09:55:58.000Z,2022-05-06,9,,,,,
35,1.44575729008726E+018,"""This is Beyond Shocking"" - American Frontline Doctors on FDA Approval of Failed Ebola Drug Remdesivir By the FDA for Treatment of Covid-19 in Babies via",[],2022-05-06T09:55:58.000Z,2022-05-06,9,,,,,
36,7587032,Hairy Biker Dave Myers reveals cancer diagnosis and says he is undergoing chemotherapy,[],2022-05-06T09:55:57.000Z,2022-05-06,9,,,,,
37,1.51873191997803E+018,"+ COWARD,coz ALL vs (RUS)why PUTIN NEVER STOP ATTACK+MUCH MORE after GER SENT WEAPON,EU NOT SMART WHY USA SUCCESSFUL to MAKE EU WAR+ RIGHT+ALL sent weapon,NONE diplomacy=LET POPE TO st,s.t.KNOW WHAT HE WANTS!ALL KNOWS WHAT UKR PRES WANT:NATO;folk die ok","['NATO', 'UKRAINE', 'POPE', 'PUTIN']",2022-05-06T09:55:57.000Z,2022-05-06,9,,,,,
38,8.37102136529912E+017,"Up Next On The News: Confused Hiker Invents A Really Good Dinner, Coming Up At",[],2022-05-06T09:55:57.000Z,2022-05-06,9,,,,,
39,1.17287011697691E+018,"Men Who are Overweight More Likely to Die from Prostate Cancer, StudyFinds",[],2022-05-06T09:55:57.000Z,2022-05-06,9,,,,,
40,9.71662920877711E+017,Mikel Arteta Signs New Contract At Arsenal | FootballNews,[],2022-05-06T09:55:57.000Z,2022-05-06,9,,,,,
41,1.04852424934502E+018,"I don't have a big account, but would appreciate others sharing information to UK feminists. They have been propagandized about 'late-term' abortions in the US. Spreading misinformation and helping the right. Medical necessity is the reason.",[],2022-05-06T09:55:57.000Z,2022-05-06,9,,,,,
42,19019501,Any news from the count?,['LE2022'],2022-05-06T09:55:56.000Z,2022-05-06,9,,,,,
43,51144918,"Since its inception, has grown in popularity day by day. Nowadays, we see cryptocurrencies used in various industries with great success. It didnt take long for the casino industry to accept as a payment met...","['cryptocurrency', 'cryptocurrency']",2022-05-06T09:55:56.000Z,2022-05-06,9,,,,,
44,381721893,"Instead of taking it on the true giants (at least in this matrix), just fucked itself over by messing with a very small country that is . Russia is a big nation with small penis (Putin). If they fought against USA, they would have my full support.","['Russia', 'Ukraine', 'Shame']",2022-05-06T09:55:56.000Z,2022-05-06,9,,,,,
45,8.50652044096545E+017,- When do I need to renew my passport for travel to Europe? -,"['Travel', 'Travalogy']",2022-05-06T09:55:56.000Z,2022-05-06,9,,,,,
46,1.47688527062462E+018,Def Squad Transcends the Physical with Metaverse-Ready VarsityJacket,[],2022-05-06T09:55:56.000Z,2022-05-06,9,,,,,
47,270924294,Craft beer coming soon to Hughenden Yard,[],2022-05-06T09:55:56.000Z,2022-05-06,9,,,,,
48,25900803,"Orlando Chief Roln is retiring. In a letter to Mayor Dyer he said ""The challenges law enforcement...faced during the last three years have been unprecedented, I am proud of the way I led our department during this challenging time.""","['FOX35', 'FOX35ORLANDO']",2022-05-06T09:55:55.000Z,2022-05-06,9,,,,,
50,22187011,Hepatitis outbreak in children misleadingly linked to Covid-19 vaccination via experts confirm = hepatitis in children is not linked to the vaccine,[],2022-05-06T09:55:55.000Z,2022-05-06,9,,,,,
51,3013101528,ive been stressed out since this morning thank you got7 for this good news,[],2022-05-06T09:55:55.000Z,2022-05-06,9,,,,,
52,1.26242924451411E+018,"Pedestrian, , killed in motorbike crash in Brixton",[],2022-05-06T09:55:55.000Z,2022-05-06,9,,,,,
53,1.16032426628767E+018,"Tories are dragged left by fact Labour is main opposition. Macron dragged right by Le Pen. Exception: USA, where both Dems and Reps are dragged to extremes by their base. Its not good news for US.",[],2022-05-06T09:55:55.000Z,2022-05-06,9,,,,,
54,21751545,Barnard was in a coma since April and passed away early on Friday morning.,[],2022-05-06T09:55:54.000Z,2022-05-06,9,,,,,
55,1.4993846187762E+018,Russian oligarchs flee to Dubai to avoid sanctions over Putin's war in Ukraine (via ),[],2022-05-06T09:55:54.000Z,2022-05-06,9,,,,,
56,1.08166191249508E+018,"I mean no one has ever said vaccines are % safe. And if you read the articles, it clearly says that the side effects are rare, and I'd much rather have the side effects of the vaccine than COVID itself. I agree that the media do try force some narratives which dont always work",[],2022-05-06T09:55:54.000Z,2022-05-06,9,,,,,
57,942797970,transports prisoners' to in initiative,"['NewsUpdate', 'ArabCoalition', 'Houthi', 'Yemen', 'humanitarian', 'pakustv', 'NYC', 'politics', 'SaudiArabia', 'POWs', 'Houthis', 'MiddleEast']",2022-05-06T09:55:54.000Z,2022-05-06,9,,,,,
58,8.50652044096545E+017,- British family stranded in New Zealand for seven months after three sets of flights cancelled -,"['Travel', 'Travalogy']",2022-05-06T09:55:53.000Z,2022-05-06,9,,,,,
59,525826044,"No idea how news outlets are saying its not that bad for the tories - were only halfway through vote counting and theyve lost council seats and control over councils. Thats pretty fucking bad if you ask me, and good riddance",[],2022-05-06T09:55:53.000Z,2022-05-06,9,,,,,
60,402664998,Day of Covid. I am so bored of feeling knackered and like crap.,[],2022-05-06T09:55:53.000Z,2022-05-06,9,,,,,
61,24328236,"Days after Argentinas largest private bank Banco Galicia opened crypto trading services, the nations central bank cracked the whip by banning financial institutions from carrying out crypto transactions. (Read More)",[],2022-05-06T09:55:53.000Z,2022-05-06,9,,,,,
62,57280099,"""Man buys clothes"" - truly earth shattering news.",[],2022-05-06T09:55:53.000Z,2022-05-06,9,,,,,
