Date,USD,ethereum,binance,bitcoin,tether
3/11/2022,0.9999,2557.2400,371.8956,38735.5500,1.0001
3/12/2022,0.9999,2568.9000,372.2680,38814.7000,1.0001
3/13/2022,1.0000,2516.3700,361.8875,37791.5000,1.0003
3/14/2022,0.9999,2590.3450,373.9835,39676.6300,1.0002
3/15/2022,1.0002,2619.2350,371.7406,39301.5800,1.0003
3/16/2022,0.9999,2775.3900,385.6685,41130.4900,1.0004
3/17/2022,0.9998,2814.2180,392.3245,40944.6300,1.0005
3/18/2022,1.0283,2940.2620,397.7530,41777.6800,1.0006
3/19/2022,1.0178,2952.0750,400.1565,42224.8600,1.0004
3/20/2022,1.0000,2862.4050,390.6570,41284.1400,1.0004
3/21/2022,1.0001,2891.2670,396.6122,41016.0700,1.0003
3/22/2022,1.0390,2970.3650,404.3520,42374.1200,1.0004
3/23/2022,1.0001,3037.4500,408.6320,42903.2500,1.0004
3/24/2022,1.0000,3112.2000,414.4306,44008.7400,1.0005
3/25/2022,1.0001,3104.5150,410.1699,44334.8800,1.0003
3/26/2022,1.0001,3146.3830,416.3975,44541.6800,1.0005
3/27/2022,0.9999,3271.1100,429.3921,46620.6300,1.0004
3/28/2022,1.0000,3372.4580,434.6050,47554.9000,1.0004
3/29/2022,1.0000,3387.9620,433.5300,47356.1500,1.0004
3/30/2022,0.9999,3389.8500,443.1410,47100.7200,1.0003
3/31/2022,1.0000,3291.2350,431.5130,45807.0900,1.0004
4/1/2022,0.9997,3451.4700,445.2000,46377.2300,1.0003
4/2/2022,0.9989,3467.6250,441.3550,46130.7500,1.0003
4/3/2022,1.0000,3544.6600,451.3225,46705.7000,1.0003
4/4/2022,1.0001,3529.8900,448.3975,46692.3700,1.0003
4/5/2022,1.0000,3444.0670,448.8232,45855.0000,1.0003
4/6/2022,0.9999,3189.5600,423.4000,43521.3400,1.0001
4/7/2022,1.0000,3235.6670,436.5545,43632.8800,1.0000
4/8/2022,1.0000,3190.8670,422.2000,42313.0400,1.0004
4/9/2022,0.9999,3248.7790,423.8425,42557.5900,1.0002
4/10/2022,0.9992,3223.5700,420.0909,42135.9200,1.0004
4/11/2022,1.0000,3000.1050,395.9080,39769.8800,1.0001
4/12/2022,1.0000,3015.0250,412.7943,39845.9800,1.0001
4/13/2022,0.9999,3123.5850,423.1726,41288.8400,1.0002
