Date,USD,ethereum,binance,bitcoin,tether
2022-03-11,0.9999,2557.24,371.8956,38735.55,1.0001
2022-03-12,0.9999,2568.9,372.268,38814.7,1.0001
2022-03-13,1.0,2516.37,361.8875,37791.5,1.0003
2022-03-14,0.9999,2590.345,373.9835,39676.63,1.0002
2022-03-15,1.0002,2619.235,371.7406,39301.58,1.0003
2022-03-16,0.9999,2775.39,385.6685,41130.49,1.0004
2022-03-17,0.9998,2814.218,392.3245,40944.63,1.0005
2022-03-18,1.0283,2940.262,397.753,41777.68,1.0006
2022-03-19,1.0178,2952.075,400.1565,42224.86,1.0004
2022-03-20,1.0,2862.405,390.657,41284.14,1.0004
2022-03-21,1.0001,2891.267,396.6122,41016.07,1.0003
2022-03-22,1.039,2970.365,404.352,42374.12,1.0004
2022-03-23,1.0001,3037.45,408.632,42903.25,1.0004
2022-03-24,1.0,3112.2,414.4306,44008.74,1.0005
2022-03-25,1.0001,3104.515,410.1699,44334.88,1.0003
2022-03-26,1.0001,3146.383,416.3975,44541.68,1.0005
2022-03-27,0.9999,3271.11,429.3921,46620.63,1.0004
2022-03-28,1.0,3372.458,434.605,47554.9,1.0004
2022-03-29,1.0,3387.962,433.53,47356.15,1.0004
2022-03-30,0.9999,3389.85,443.141,47100.72,1.0003
2022-03-31,1.0,3291.235,431.513,45807.09,1.0004
2022-04-01,0.9997,3451.47,445.2,46377.23,1.0003
2022-04-02,0.9989,3467.625,441.355,46130.75,1.0003
2022-04-03,1.0,3544.66,451.3225,46705.7,1.0003
2022-04-04,1.0001,3529.89,448.3975,46692.37,1.0003
2022-04-05,1.0,3444.067,448.8232,45855.0,1.0003
2022-04-06,0.9999,3189.56,423.4,43521.34,1.0001
2022-04-07,1.0,3235.667,436.5545,43632.88,1.0
2022-04-08,1.0,3190.867,422.2,42313.04,1.0004
2022-04-09,0.9999,3248.779,423.8425,42557.59,1.0002
2022-04-10,0.9992,3223.57,420.0909,42135.92,1.0004
2022-04-11,1.0,3000.105,395.908,39769.88,1.0001
2022-04-12,1.0,3015.025,412.7943,39845.98,1.0001
2022-04-13,0.9999,3123.585,423.1726,41288.84,1.0002
2022-04-14,0.9997,3014.68,414.3218,39847.85,1.0001
2022-04-15,1.0001,3033.085,416.556,40477.33,1.0001
2022-04-16,1.0,3061.825,417.2235,40418.12,1.0001
2022-04-17,1.0,3046.038,414.002,40011.18,1.0002
2022-04-18,0.9999,3066.172,417.774,40931.43,1.0
2022-04-19,0.9999,3098.66,421.0035,41407.14,1.0001
2022-04-20,0.9999,3086.595,419.586,41490.69,1.0001
2022-04-21,0.9999,2983.62,404.4692,40413.86,1.0001
2022-04-22,1.0,2959.103,406.75,39717.27,1.0001
2022-04-23,1.0,2956.5,404.318,39826.21,1.0002
2022-04-24,0.9999,2929.955,400.697,39564.86,1.0002
2022-04-25,1.0,3010.637,403.8005,40365.52,1.0001
2022-04-26,0.9999,2821.44,386.3979,38225.55,0.9999
2022-04-27,0.9999,2875.93,389.883,39081.53,1.0
2022-04-28,0.9987,2928.462,408.0565,39792.61,1.0001
2022-04-29,0.9999,2818.996,393.4037,38613.84,1.0001
2022-04-30,0.9999,2781.833,385.427,38259.27,0.9999
2022-05-01,0.9999,2808.18,389.0,38315.99,1.0001
2022-05-02,0.9999,2861.813,388.9865,38588.05,1.0001
2022-05-03,0.9999,2784.419,382.9006,37736.32,0.9998
2022-05-04,1.0001,2924.679,402.04,39674.52,0.9997
2022-05-05,0.9999,2736.202,376.1,36229.65,0.9998
2022-05-06,0.9999,2694.873,380.2895,36003.16,1.0
2022-05-07,0.9991,2602.728,362.0215,35043.57,0.9998
2022-05-08,0.9999,2538.775,356.7634,34268.65,0.9998
2022-05-09,0.9999,2293.545,308.233,31100.64,1.0
2022-05-10,0.9999,2320.748,314.546,30784.39,0.9995
2022-05-11,0.9999,2076.573,270.252,28758.36,0.9956
2022-05-12,0.9999,1918.887,265.3902,28744.75,0.9973
2022-05-13,0.9999,2055.255,295.315,29758.87,0.9983
2022-05-14,0.9999,2053.125,294.8565,30189.75,0.9987
2022-05-15,0.9999,2128.1,309.5119,31048.64,0.9988
2022-05-16,1.0,2030.39,297.644,29980.18,0.9987
2022-05-17,0.9999,2079.44,304.1846,30321.3,0.9987
2022-05-18,0.9999,1945.218,292.838,28935.75,0.9987
2022-05-19,1.0005,2004.613,304.2162,30152.64,0.999
2022-05-20,0.9999,1950.88,302.4735,29117.37,0.9989
2022-05-21,1.0,1972.177,312.477,29376.09,0.9987
2022-05-22,1.0001,2033.725,318.011,30250.12,0.9989
2022-05-23,1.0004,1976.098,320.152,29182.82,0.9988
2022-05-24,0.9999,1980.895,327.8745,29579.41,0.9987
2022-05-25,0.9999,1962.94,328.637,29754.06,0.9989
2022-05-26,1.0005,1818.565,309.8539,29480.5,0.9987
2022-05-27,0.9999,1740.805,303.0372,28794.0,0.9988
2022-05-28,0.9999,1782.845,307.224,28967.74,0.9988
2022-05-29,0.9999,1808.893,306.0115,29403.09,0.999
2022-05-30,0.9999,1997.215,321.468,31754.71,0.9992
2022-05-31,0.9999,1955.965,321.7125,31848.53,0.9992
2022-06-01,1.0,1816.8,300.5722,29727.43,0.9992
2022-06-02,0.9998,1832.868,307.861,30462.26,0.9992
2022-06-03,0.9999,1780.93,297.43,29702.83,0.999
2022-06-04,0.9999,1797.775,301.388,29781.32,0.9991
2022-06-05,0.9999,1814.255,299.125,29994.62,0.9992
2022-06-06,1.0002,1853.965,296.0508,31374.16,0.9991
2022-06-07,0.9999,1807.395,288.798,31247.43,0.9995
2022-06-08,1.0011,1798.772,289.807,30286.06,0.9993
2022-06-09,1.0,1787.37,288.8,30037.71,0.9992
2022-06-10,0.9999,1673.547,287.036,29151.6,0.9989
2022-06-11,0.9999,1547.083,273.207,28612.09,0.999
2022-06-12,1.0024,1454.787,257.497,26965.39,0.9988
2022-06-13,0.9998,1191.705,219.7356,22567.95,0.9986
2022-06-14,1.001,1175.265,217.862,21570.78,0.9988
2022-06-15,1.0013,1216.64,230.6262,22457.5,0.9989
2022-06-16,0.9998,1065.968,209.4358,20344.63,0.9986
2022-06-17,1.0,1082.605,216.119,20424.12,0.9988
2022-06-18,1.0,990.052,198.3431,19157.18,0.9984
2022-06-19,0.9999,1140.15,214.869,20672.86,0.9988
2022-06-20,1.0002,1106.245,215.774,20464.27,0.9987
2022-06-21,0.9999,1136.87,221.672,20883.05,0.999
2022-06-22,0.9999,1060.805,216.092,20085.13,0.9988
2022-06-23,1.0001,1140.432,228.302,20973.1,0.9991
2022-06-24,0.9999,1229.62,240.98,21297.78,0.9991
2022-06-25,1.0,1241.628,238.693,21419.99,0.9996
2022-06-26,0.9997,1213.667,235.116,21137.54,0.9992
2022-06-27,1.0,1201.46,234.3507,20796.56,0.9991
2022-06-28,0.9999,1146.617,226.7518,20286.66,0.9988
2022-06-29,0.9999,1107.817,221.1055,20192.66,0.9988
2022-06-30,1.0,1022.45,213.045,18870.13,0.9987
2022-07-01,1.0,1063.305,216.897,19275.4,0.9988
2022-07-02,0.9999,1069.262,218.5155,19304.38,0.9987
2022-07-03,0.9999,1074.64,218.3205,19274.94,0.9987
2022-07-04,0.9999,1141.88,230.054,20140.64,0.9989
2022-07-05,0.9999,1150.385,233.2205,20412.13,0.9988
2022-07-06,1.0,1189.685,238.058,20495.47,0.9989
2022-07-07,0.9999,1229.2,240.342,21616.49,0.9996
2022-07-08,1.0,1230.645,241.7025,21763.79,0.9994
2022-07-09,0.9998,1215.475,242.581,21615.88,0.9994
2022-07-10,0.9999,1167.795,234.1545,20826.81,0.9994
2022-07-11,0.9999,1097.85,225.8177,19984.04,0.9991
2022-07-12,0.9999,1041.875,221.7997,19357.22,0.999
2022-07-13,1.0,1085.595,226.204,19832.15,0.9992
2022-07-14,1.0,1186.53,236.7393,20487.88,0.9992
